time,temperature,humidity
2024-09-10 20:06:35.269188,21.9,60.5
2024-09-10 20:06:36.622273,None,None
2024-09-10 20:06:37.977685,None,None
2024-09-10 20:06:39.333856,21.9,60.3
2024-09-10 20:06:40.686800,21.9,60.4
2024-09-10 20:06:42.039757,None,None
2024-09-10 20:06:43.392653,21.9,60.4
2024-09-10 20:06:44.745724,None,None
2024-09-10 20:06:46.098613,None,None
2024-09-10 20:06:47.451441,None,None
2024-09-10 20:06:48.804232,21.9,60.4
2024-09-10 20:06:50.157162,None,None
2024-09-10 20:06:51.510149,21.9,60.3
2024-09-10 20:07:13.179771,None,None
2024-09-10 20:07:14.533909,None,None
2024-09-10 20:07:15.886968,None,None
2024-09-10 20:07:17.240489,21.9,60.0
2024-09-10 20:07:18.594031,21.9,60.0
2024-09-10 20:07:19.947131,21.9,59.9
2024-09-10 20:07:21.301665,21.9,59.9
2024-09-10 20:07:22.655860,21.9,59.8
2024-09-10 20:07:47.825227,21.9,59.9
2024-09-10 20:07:49.184169,None,None
2024-09-10 20:07:50.537085,21.9,60.1
2024-09-10 20:07:51.890094,21.9,60.1
2024-09-10 20:07:53.243023,None,None
2024-09-10 20:07:54.595822,21.9,60.1
2024-09-10 20:07:55.948760,21.9,60.2
2024-09-10 20:07:57.302025,None,None
2024-09-10 20:09:43.825514,21.9,60.2
2024-09-10 20:10:45.823016,21.9,60.2
2024-09-10 20:10:47.176126,None,None
2024-09-10 20:10:48.529262,None,None
2024-09-10 20:10:49.882512,None,None
2024-09-10 20:10:51.235602,21.9,59.5
2024-09-10 20:10:52.588976,21.9,59.5
2024-09-10 20:10:53.942389,None,None
2024-09-10 20:10:55.296178,21.9,59.6
2024-09-10 20:10:56.649452,21.9,59.6
2024-09-10 20:10:58.002420,None,None
2024-09-10 20:10:59.355392,None,None
2024-09-10 20:11:00.708352,None,None
2024-09-10 20:11:02.061802,22.0,59.8
2024-09-10 20:11:03.414831,22.0,59.8
2024-09-10 20:11:04.769424,None,None
2024-09-10 20:11:06.123767,None,None
2024-09-10 20:11:07.476994,None,None
2024-09-10 20:11:08.831419,None,None
2024-09-10 20:11:10.184624,22.0,60.0
2024-09-10 20:11:12.135645,None,None
2024-09-10 20:11:13.488855,22.0,60.0
2024-09-10 20:11:14.841963,22.0,60.0
2024-09-10 20:11:16.194953,None,None
2024-09-10 20:11:17.548184,None,None
2024-09-10 20:11:18.901234,None,None
2024-09-10 20:11:20.254302,None,None
2024-09-10 20:11:21.607636,None,None
2024-09-10 20:11:22.960582,22.0,59.9
2024-09-10 20:11:24.320770,None,None
2024-09-10 20:11:25.673994,22.0,59.9
2024-09-10 20:11:27.026979,None,None
2024-09-10 20:11:28.384439,22.0,59.9
2024-09-10 20:11:29.737335,None,None
2024-09-10 20:11:31.090295,22.0,59.8
2024-09-10 20:11:32.443187,22.0,59.8
2024-09-10 20:11:33.796110,22.0,59.7
2024-09-10 20:11:35.149040,None,None
2024-09-10 20:11:36.501929,None,None
2024-09-10 20:11:37.854753,22.1,59.7
2024-09-10 20:11:39.207742,None,None
2024-09-10 20:11:40.560626,22.1,59.6
2024-09-10 20:11:41.913680,None,None
2024-09-10 20:11:43.266555,None,None
2024-09-10 20:11:44.619379,22.0,59.6
2024-09-10 20:11:45.972234,22.1,59.5
2024-09-10 20:11:47.325149,None,None
2024-09-10 20:11:48.678092,None,None
2024-09-10 20:11:50.031033,None,None
2024-09-10 20:11:51.384194,22.1,59.3
2024-09-10 20:11:52.737106,22.1,59.2
2024-09-10 20:11:54.090086,None,None
2024-09-10 20:11:55.443017,22.1,59.2
2024-09-10 20:11:56.795902,22.1,59.3
2024-09-10 20:11:58.148777,22.1,59.3
